ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag
142.28118637357127,64.02572030291147,0.46997944,092907.48+640132.5,5718,56693,19,142.28117471548188,64.02568421178137,0.4694819929165269,39633432396956864,59202.40698597,0.0
204.7839896034256,32.116448491497046,0.7317571999999999,133908.15+320659.2,6496,56363,696,204.78397414739368,32.11644963946751,0.7302417353249506,39628522582443043,59293.38243462,0.0
197.08870101359463,27.037458053904967,0.6860398,130821.28+270214.8,5994,56101,693,197.0886828443597,27.03747338157925,0.6858808247657151,39628417187971365,59267.50019501,20.435434341430664
197.0566633781256,27.80037998542649,0.48222438,130813.59+274801.3,5994,56101,675,197.0566580731416,27.80035529664596,0.4812892630834388,39628433302490108,59267.50019496,0.0
196.07586504327296,31.743620989983988,0.739128,130418.20+314437.0,6488,56364,212,196.0758825508116,31.743655429613383,0.7389656679062323,39628517314401155,59291.37345156,20.253549575805664
196.54313164822128,31.65036971444179,0.8723820999999999,130610.35+313901.3,6487,56362,603,196.54312860981773,31.65037996524669,0.8788796559816586,39628517322787445,59291.37345163,20.866043090820312
196.5260914753672,31.90806867340516,0.3934737,130606.26+315429.0,6488,56364,134,196.5261170721705,31.90807780448667,0.3933920292766617,39628522465002511,59291.37345163,20.48701286315918
195.45935529553145,33.652659187731594,1.8953227,130150.24+333909.5,10251,58173,244,195.45936898850923,33.65268402506942,1.8926222879501569,39632956075018101,59291.37345157,21.02486801147461
194.9901073953912,33.48330880571548,0.89286125,125957.62+332859.9,6488,56364,602,194.9901364167381,33.483288146687144,0.8949263484039142,39632951029268983,59291.37345157,21.03350830078125
195.66345777293515,33.726476788017244,0.99123645,130239.22+334335.3,10251,58173,204,195.66344948457004,33.726489883026055,0.9910092162288348,39632956079211518,59291.37345156,21.160045623779297
195.91589784376208,33.89461537792603,1.8614662,130339.81+335340.6,10251,58173,165,195.9159156246672,33.89461143019764,1.8603354570946165,39632961103989997,59291.37345156,20.199312210083008
196.1295921551674,33.90590429263512,0.42142448,130431.10+335421.2,10251,58173,44,196.1296007942212,33.90592559427845,0.4214832468756048,39632961108183066,59291.37345156,19.10081672668457
202.72198025896373,31.32516271133299,0.24188985,133053.27+311930.5,6492,56362,190,202.72197328243223,31.325163124920287,0.2421364914773788,39628507088687325,59292.39605582,17.193124771118164
214.3960005809312,50.7315801089018,1.8632491,141735.04+504353.6,8405,57835,212,214.39605900317449,50.73159120614908,1.8625132066107744,39633260032033999,59231.53161271,21.01140022277832
211.9954017138131,49.992469046134175,1.070103,140758.89+495932.8,8435,57487,732,211.9954181434068,49.992467055104576,1.0728955990070947,39633248409618539,59231.53161265,0.0
211.17614540618737,51.22622404472531,0.64504194,140442.27+511334.4,6741,56394,160,211.17611956798703,51.22624935597079,0.6452882067295591,39633267623724008,59231.53161262,20.999082565307614
212.5777063320592,50.360150739615975,0.853907,141018.64+502136.5,6746,56386,784,212.57774057275444,50.36016788116285,0.8541405648034629,39633252301932810,59231.53161259,19.976730346679688
213.4616887751505,51.339907081135216,0.81554955,141350.80+512023.6,8405,57835,350,213.46170589547089,51.339897419060485,0.8154888106082473,39633267648888957,59231.53161272,20.82713317871093
212.0082705022453,50.78263717146181,0.95710605,140801.98+504657.4,8435,57487,744,212.0082873871156,50.7826296756588,0.955737093891124,39633260006867826,59231.53161265,0.0
211.961386272401,51.5891992209601,0.2602907,140750.73+513521.1,8405,57835,498,211.9614253210173,51.589193481500594,0.260338619101536,39633271411182644,59280.49703629,20.091495513916016
212.4449977460628,51.77702377899687,0.4671107,140946.79+514637.2,7027,56448,164,212.4449709003353,51.7770326036831,0.4666728754153098,39633275177666824,59231.53161264,20.52860450744629
212.21530761765555,51.8714907818261,0.8481728999999999,140851.67+515217.3,7028,56449,405,212.21532019904944,51.87148825498064,0.8461322346335348,39633275177664538,59231.53161264,19.26868438720703
212.2966282102984,52.01672019775268,0.4616552,140911.19+520100.1,8405,57835,524,212.2966378387576,52.016724559699966,0.4611895164064878,39633278914792594,59231.53161264,20.16263008117676
210.6484308681053,51.05148732159258,0.73759454,140235.62+510305.3,6741,56394,234,210.648400007532,51.05150565421886,0.7377646094024358,39633263815296531,59231.53161262,20.50460624694824
215.309506683606,51.95252526489904,0.90230894,142114.28+515709.0,7028,56449,42,215.3094837013963,51.952522166512566,0.9022794922920028,39633278948345004,59231.5316127,21.196304321289062
215.72640585695007,52.22767423525792,0.9651218,142254.33+521339.6,7030,56448,188,215.7264209938404,52.22768302148491,0.9647878625995148,39633282672889174,59260.47124118,0.0
217.3068038380997,51.96568049959857,0.086673655,142913.63+515756.4,7031,56449,168,217.3067615323468,51.96566648726719,0.0853749120370907,39633278969316155,59260.47124129,0.0
218.74280832820443,52.74435623904008,1.7838006999999998,143458.27+524439.6,8403,57834,780,218.7428141765744,52.74432474080336,1.7894831733838787,39633290088416147,59260.47124134,0.0
217.08697675933,53.025556800875975,0.9958678,142820.87+530132.0,7031,56449,819,217.0869740070292,53.02553808867203,0.9958358156275782,39633293729073163,59260.47124129,20.46288108825684
216.71743845423725,52.89388636140711,0.70914704,142652.18+525337.9,7030,56448,117,216.7174580826617,52.893881255191296,0.70902552347658,39633293724879496,59260.47124129,20.813196182250977
216.20548672117584,53.01991887835673,0.7987876,142449.31+530111.7,7030,56448,846,216.20548938606768,53.01989201370417,0.7994458926906112,39633293720684378,59260.47124118,20.15500259399414
216.6456320442392,53.47359238321469,1.9942098,142634.95+532824.9,6933,56398,953,216.6456512302806,53.47356779860851,1.9906408471003043,39633300981024664,59260.47124122,0.0
216.9556818175254,53.41915056920871,0.90840364,142749.36+532508.9,7031,56449,776,216.9556711987417,53.419138176009405,0.908841674293752,39633300985218196,59260.47124129,18.44286346435547
217.6171506385006,53.02050429319068,0.72484577,143028.11+530113.8,6718,56398,562,217.6171481329084,53.02049740829143,0.7240076756630522,39633293733268713,59260.47124134,20.2318115234375
219.30510060041448,53.728880755109365,1.8411129,143713.22+534343.9,8403,57834,864,219.3051624668689,53.72890256010179,1.838148552022824,39633304604903186,59260.47124132,0.0
219.4336221925344,54.08161792940529,0.6774984000000001,143744.06+540453.8,6710,56416,54,219.4336175324389,54.08163546997325,0.6775234120267821,39633308182643159,59260.47124132,20.033767700195312
219.03451708641327,53.76450918179679,1.8323249,143608.28+534552.2,8399,57843,368,219.0345384750697,53.76451209429752,1.840608649894493,39633304600710695,59260.47124132,20.45070075988769
219.4833475960904,53.49055238048021,0.7656653,143756.00+532925.9,6711,56388,450,219.4833700990817,53.49055984168416,0.7656275759554226,39633301010384370,59260.47124132,20.79391860961914
217.7043755971225,54.50243438361118,0.78085715,143049.05+543008.7,8399,57843,496,217.70439069781392,54.50244580692922,0.7807695796410586,39633315241659954,59260.47124124,0.0
214.1195978148764,52.56288126352855,0.9864397,141628.70+523346.3,7339,57428,227,214.119636969668,52.56288760774114,0.9861789954777628,39633286359680480,59231.53161269,20.863006591796875
214.22170000000008,52.351135,0.9820404,141653.20+522104.0,7031,56449,470,214.22166119018885,52.35102771851482,0.9815209899084208,39633282660303901,59231.53161269,0.0
215.16581569783943,52.06658928400855,0.47381556,142039.79+520359.7,7339,57428,91,215.165795921146,52.06660896977186,0.4738729876797296,39633278944152996,59231.5316127,20.24858283996582
215.3354583683092,52.46037106498653,0.18444078,142120.51+522737.3,7028,56449,70,215.335478944008,52.46039916570324,0.1852367518337594,39633286372263292,59260.47124118,0.0
215.57163327750496,53.03644350820419,0.89768416,142217.19+530211.1,7339,57428,35,215.57162726115985,53.0364253132658,0.8972373218067599,39633293712297231,59260.47124122,20.390161514282227
213.9149668124228,52.62441764486148,0.23807225,141539.59+523727.9,7339,57428,231,213.9149719702222,52.6244112935229,0.2377412240914628,39633286355488472,59231.53161269,19.091175079345703
214.37196389394387,53.307371436654,0.2377052,141729.27+531826.5,7339,57435,812,214.3719754040631,53.30735646941547,0.2371536672181486,39633297340369332,59260.47124122,19.329551696777344
214.3816245844764,53.54011346272409,0.9814342,141731.58+533224.4,7339,57428,811,214.3816440531872,53.54010869513457,0.9813155087202698,39633300960051636,59266.47765297,20.62517166137696
215.9425355062785,53.37013458781949,0.6745071,142346.20+532212.4,7339,57428,987,215.9425362083387,53.37012136306314,0.6742725921787106,39633297357145764,59260.47124122,20.85686683654785
216.2042639676256,53.38283529314955,0.4015939,142449.02+532258.2,7032,56471,728,216.20424617313407,53.382812249395066,0.4007114489261242,39633300976830276,59260.47124122,0.0
215.29161015917447,53.88473051125785,0.5790904,142109.98+535305.0,7028,56449,905,215.2915688676192,53.88476315748196,0.5787283394936743,39633308140700769,59266.47765297,0.0
216.3733422072156,53.90496367147576,0.769367,142529.60+535417.8,7030,56448,870,216.373356332414,53.90495678659792,0.7686744336791094,39633308149091497,59260.47124132,20.14763641357422
216.16448223043992,54.2202786951156,0.9867861,142439.47+541313.0,8402,57843,273,216.1644997714621,54.22026854504548,0.9867785671269298,39633311697471986,59260.47124132,21.01339530944824
216.44767791272847,54.70975671112468,2.0026174,142547.44+544235.1,8402,57843,121,216.4476645547205,54.70974824030116,2.005289556439946,39633318739707332,59260.47124125,20.078413009643555
217.2413220702609,54.47974056867961,1.7816888,142857.91+542847.0,8402,57843,96,217.2413357628116,54.479734897264784,1.776443973716627,39633315237465372,59260.47124125,20.68424224853516
214.9696258336496,54.56553399812071,0.36781687,141952.71+543355.9,6931,56388,790,214.9696343770265,54.565536123921326,0.3676873802551081,39633315216492783,59260.47124132,20.43610382080078
215.18942293083407,54.68662203390849,0.90558004,142045.46+544111.8,8402,57843,351,215.1894205210154,54.6866198525675,0.9055066748307582,39633318727124945,59260.47124132,0.0
215.5235055208988,54.53594391523722,0.96379673,142205.64+543209.3,6932,56397,873,215.5234915788187,54.5359656176876,0.963609029327054,39633315220687632,59260.47124132,0.0
217.1748431783585,54.62445588813224,1.3809022,142841.96+543728.0,8402,57843,88,217.1748684907102,54.62445284070783,1.379603783263842,39633315237464728,59260.47124125,0.0
217.02682053826703,54.91450788756477,1.0115243,142806.43+545452.2,8402,57843,925,217.0268253243977,54.91451105527339,1.0112274518327962,39633322233562424,59260.47124125,0.0
216.9754146759608,54.71501735352682,0.69429636,142754.09+544254.0,8402,57843,64,216.975468019417,54.71503680393317,0.6937921610044322,39633318743902337,59260.47124125,20.48420143127441
37.120352464401066,-5.86037196087927,0.8790394,022828.88-055137.3,7235,56603,327,37.1203596663981,-5.860357082694116,0.8789173449904951,39627646589475795,59198.2450305,20.672048568725582
35.8757263140567,-5.799472258588684,0.3511672,022330.17-054758.1,7236,56605,123,35.875717775184775,-5.799499011097286,0.3536125061424701,39627646568504839,59198.17546592,19.632062911987305
35.603015378231795,-5.817556347761641,0.814533,022224.72-054903.2,7236,56605,206,35.603008968200825,-5.8175736158845215,0.8146753726808343,39627646564310871,59198.17546592,0.0
36.399333145023725,-5.446384694713607,0.81240726,022535.84-052646.9,4388,55536,551,36.3993349513074,-5.446370463608361,0.8127329953881501,39627652591526130,59198.17546592,20.773632049560547
36.824551332698505,-5.273348144505366,0.5654103,022717.89-051624.0,4388,55536,582,36.82453094738297,-5.273306301199458,0.5655042837126179,39627658614545947,59198.17546592,20.72822570800781
36.98304088368722,-5.460555495128629,0.3783492,022755.92-052737.9,7235,56603,343,36.98301505451981,-5.460548812791847,0.3779123925437704,39627652604103539,59198.2450305,20.56252098083496
37.364335618040144,-4.544389379639306,0.88441485,022927.44-043239.8,7235,56603,724,37.36433163100293,-4.544390937935319,0.8857633559277579,39627676696183205,59198.17546592,0.0
37.68390439502191,-4.797681123669112,0.94177324,023044.13-044751.6,7235,56603,817,37.68389655151616,-4.797643922681594,0.9421686973986072,39627670677359523,59198.17546592,20.70517921447754
36.81716934966314,-4.760862446048353,0.72072387,022716.12-044539.1,4387,55534,115,36.81716663998581,-4.760859262951024,0.7217702596861957,39627670660586851,59198.17546592,19.929750442504886
37.27655808429268,-4.838653518581265,1.6993996999999998,022906.37-045019.1,7881,57282,329,37.276565111726505,-4.838617500853389,1.706546967462225,39627670668973727,59198.17546592,0.0
37.48704187712739,-4.056201776638514,1.8359412,022956.89-040322.3,7881,57282,263,37.48709886769671,-4.056185807501575,1.8295212869625104,39627688750618275,59220.12684111,20.80181884765625
37.57200905735351,-4.111418106992185,0.96186143,023017.28-040641.1,7235,56603,792,37.572049797084496,-4.111416339622768,0.9610911817213702,39627688754807516,59198.2450305,0.0
38.46479538592088,-4.096439320685853,0.9056665,023351.55-040547.1,7235,56603,945,38.46479321446056,-4.0964386742002885,0.9094999187022196,39627688767395056,59220.12684115,19.61484336853028
35.311607291980906,-5.142527975763112,1.0011725,022114.78-050833.1,6369,56217,376,35.311612373650455,-5.1425163002588015,0.9959135539353956,39627658589379511,59198.17546592,20.50791549682617
35.44134978535247,-5.038379172999481,0.95584196,022145.92-050218.1,7883,57331,165,35.44136135213621,-5.038399868984058,0.9631096651409872,39627664616590425,59198.17546592,20.265554428100582
35.97443409568307,-4.918953467459152,0.99549663,022353.86-045508.2,6369,56217,226,35.974467713838834,-4.918943955387711,0.9954665588915872,39627664624979958,59198.2450305,0.0
35.8317647795773,-4.791970680138686,0.29359046,022319.62-044731.0,6369,56217,266,35.83176880904275,-4.791953833070062,0.2932514229277105,39627670643810050,59198.17546592,20.104368209838867
35.745431684552564,-4.9812340889402895,0.46608987,022258.90-045852.4,6369,56217,298,35.74544377068516,-4.981235084066615,0.4658538987067838,39627664620786410,59198.17546592,19.33603286743164
35.08459724069537,-4.814469219216159,0.45769042,022020.30-044852.0,8124,56954,197,35.08462029429209,-4.814459188193048,0.4570879408461469,39627670631227999,59198.17546592,0.0
35.710855003586104,-4.181013300049297,0.94775456,022250.60-041051.6,8126,56956,635,35.710868752395626,-4.18100845307023,0.947540997825384,39627682689849628,59198.17546592,0.0
36.98760994230727,-4.025244805852154,1.9178239,022757.02-040130.8,8356,56989,747,36.987600282328096,-4.025216571638067,1.9111427386543165,39627688742230184,59220.12684111,0.0
36.165573382152544,-4.400449194995666,0.47861287,022439.73-042401.6,6369,56217,189,36.16557099005065,-4.4004448230319175,0.4785779858022756,39627676675213352,59198.2450305,21.056272506713867
35.893733902513404,-4.1840930690609,0.9105055,022334.49-041102.7,7236,56605,886,35.8937836245884,-4.184106541429154,0.9106947317653424,39627682694040877,59198.2450305,0.0
36.21750177670384,-4.0887709272019634,0.69526446,022452.20-040519.5,6369,56217,808,36.21751966896472,-4.088762236320818,0.6953291607334608,39627688729646909,59198.17546592,19.701465606689453
36.18142527514982,-4.165143513349265,0.9701863000000002,022443.54-040954.5,7881,57282,495,36.18145545210022,-4.165148187374148,0.9697502091600776,39627682698236780,59198.17546592,20.962656021118164
36.39510892240907,-4.400469837974803,0.92035866,022534.82-042401.6,6369,56217,158,36.39514087330049,-4.400480674410832,0.920041774686518,39627676679407044,59198.17546592,0.0
36.74925857694664,-3.8375079143304944,0.29247704,022659.82-035015.0,6369,56217,926,36.74930096661987,-3.837503920477953,0.2924200253416608,39627694769445378,59198.17546592,20.26039695739746
37.008931913723785,-4.136260075330803,0.86012334,022802.14-040810.5,6369,56217,972,37.00900206836422,-4.136241036899352,0.8597279847311748,39627682710822051,59198.17546592,0.0
36.85953948130982,-4.332503944804538,0.84977114,022726.28-041957.0,8356,56989,726,36.85956720980403,-4.332466683135694,0.8499311930674698,39627682710817055,59198.17546592,0.0
37.51245809889328,-3.514610459631892,1.1485636,023002.98-033052.5,7881,57282,774,37.51248607568012,-3.5145985030572744,1.1482582775513004,39627700813439301,59220.12684111,20.84955406188965
37.25845821947911,-3.5738429485331955,0.84769225,022902.03-033425.8,4387,55534,952,37.25847930858632,-3.5738381405926973,0.8434484977003421,39627700809244288,59220.12684111,20.60499382019043
