Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,W1 Gap,W2 Gap,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Redshift
160326.44+495752.3,9.594096782277994,1.4517755671353396,-9.115959118807682,1.3794239332811142,0.13844188874448626,0.020948981035773175,0.17293702050789034,0.026320984875080056,5.7264878822987635,1.4228721319067157,-5.6574218845230115,1.4057111624753091,0.12046060613422899,0.02993109266690373,0.24487797966836886,0.06163456765556462,2178.0992984449986,1459.522449254997,7.523491416976863,0.7075950316523005,0.20890750008812958,0.03350975296418404,0.03350975296418404
144036.64+024333.5,4.905918689723785,1.742181918077049,-3.43888006782821,1.2212095331207373,0.1114669454314241,0.03958396155253887,0.29741736305358474,0.10840650921198985,5.744419617716779,1.649866418434399,-4.37745931345137,1.257258974788634,0.19291581234408256,0.0554077420440957,0.5433410930063346,0.16395488228915372,1294.4331237799997,720.8193201000031,4.616669422180036,0.742853867183164,0.42037922802995964,0.09827661810672401,0.09827661810672401
121210.05-004336.1,1.7806650844173304,1.1904687975695736,-2.7567779562907044,1.8430518841029513,0.17881388362401557,0.11954653959887332,0.7730748082656581,,,,,,,,,,359.37886160999915,,2.2687215203540174,1.0970478801631889,0.6582079506359964,,
115814.79-003403.9,5.557513323515361,2.1898844940188598,-2.8525983802189345,1.1240388635817713,0.1815212127331851,0.07152668216159286,0.30265497142684517,0.12080836288887417,2.5909557609650955,1.0262909053336406,-11.225516419236067,4.446484800050831,0.40166724998435394,0.15910246397868533,1.0470584208782108,0.43057081197097585,1095.7033131400021,2909.7226540699994,5.5566459709838645,1.2962339093369697,0.674856696152528,0.2235989068987343,0.2235989068987343
143829.96+333856.1,4.926278338375303,1.2958787319492164,-5.977059777422663,1.572291314685569,0.22617229921567658,0.05949559732069708,1.2654936590816945,,2.368578651164205,,,,0.14303356075879142,,0.7747162964672574,,555.0984124100069,2717.941141919997,4.423972255654057,,1.020104977774476,,
152118.79+345453.3,3.618944568925699,,,,0.19029365246072064,,1.026229503406067,,3.323319648475759,,,,0.2501671891503052,,1.325974291576335,,4730.786051099996,2721.0455516800066,3.471132108700729,,1.176101897491201,,
152340.40+404433.2,3.8217992299739505,,,,0.14998814301457147,,0.6155699649831371,,2.8043789522131535,,,,0.18316157029853444,,0.9721627455262379,,4748.225229620002,3108.3716626199966,3.313089091093552,,0.7938663552546875,,
022014.57-072859.3,68.83438061470638,1.3214283111829215,-79.68667527409616,1.5297621303609652,3.4609147050724482,0.06643991902056766,0.797280710190018,0.016947375346628858,45.51988026629951,1.288768444499594,-55.991914291404306,1.5852548790492225,2.20877081922284,0.06253518498495217,0.7051073697164041,0.02331158445848642,1819.3515969000073,1819.5153539950043,62.50821261162659,0.7185185319534882,0.7511940399532111,0.014410443271328168,0.014410443271328168
154118.55+390547.5,5.0804046276711805,,,,0.17393834933081248,,0.7024507299207442,,2.7583707541925904,,,,0.18667018631365673,,0.9903289987524673,,4908.019012550001,4017.3466996200004,3.9193876909318854,,0.8463898643366057,,
224433.27+284922.9,1.4215554932214605,1.207891147446991,-2.098248834983341,1.7828753115883487,0.08853282105974808,0.07522605436544759,0.38346394052558824,0.3369345812369617,,,,,,,,,561.7910633549982,,1.7599021641024009,1.0767596529346812,0.6868964696390277,,
153548.21+311720.9,9.84725409211777,1.2685753356297227,-12.615529333039241,1.6251991883318073,0.24750279642648854,0.03188461880935412,0.3890455803486971,0.0515550353129409,5.117335966988888,1.0467706630275941,-16.539507582071863,3.3832195950234896,0.3279686703520105,0.06708724710108484,0.5735046254328856,0.1192879011230298,4179.801150915002,4907.93942083,11.029906743554442,1.0244650870408103,0.48127510289079134,0.0649760052258838,0.0649760052258838
121940.08+561639.8,7.182406544740921,,,,0.16321166760969297,,0.6294645377773276,,3.8883131708523964,1.126994085037601,-7.481459833202357,2.168436699664571,0.13190023639125464,0.038230147546324846,0.5066992450012734,0.16024412419995315,2921.9007964450066,4175.659910750008,6.184059849598558,,0.5680818913893004,,
143821.80+344000.9,2.3070620116803493,,,,0.22902379614559726,,1.4903936529390889,,1.947528181597496,,,,0.2991261784275738,,1.540135891262026,,3809.2067160000006,1285.0245687600036,2.127295096638923,,1.5152647721005574,,
144447.23+315853.7,3.506798163119695,,,,0.17189979051070947,,0.8369430333642331,,2.3342569020636175,,,,0.3189351798177014,,1.486644487551432,,3286.6034374900046,4016.544986050001,2.920527532591656,,1.1617937604578326,,
100327.67+015742.3,9.107592789313308,1.3377549500698556,-10.249513471930504,1.5054842371709183,0.3120089807247901,0.045828965796604136,0.2432134105437807,0.036063008955077455,4.425017640551008,1.0809510454982754,-10.78134251714863,2.6336851991251358,0.27928267706815424,0.0682236606245002,0.21015924469718908,0.05213368471255175,1617.6004850550016,2550.803474704997,8.640866604735862,0.8718093249695258,0.2266863276204849,0.031695668854757386,0.031695668854757386
141255.68+054328.0,3.005804135223558,,,,0.14734889734692427,,0.7772612511197585,,3.4834362865905852,,,,0.31871355482509856,,1.4938440088237526,,4753.639419379993,4176.171205569997,3.2446202109070716,,1.1355526299717555,,
161305.31+542223.2,1.675109244592016,,,,0.12771716994878954,,0.8242697439213027,,,,,,,,,,2194.283996399994,,1.675109244592016,,1.1590568763725275,,
162853.10+403944.6,5.322512925454133,1.3728008149106665,-5.659103760326956,1.4596154791259626,0.12596198871244318,0.03248854876899262,0.3503159800723895,0.09125873470168588,4.091653419559533,1.3332395372293884,-4.64024503953837,1.5119946668921644,0.15506541750170272,0.05052709119544821,0.5363144617641502,0.1778231547896316,2170.041054830006,364.31054507000226,4.9283787862197475,0.7105770085230684,0.44331522091826986,0.0999365186489528,0.0999365186489528
144730.23+320125.3,4.550906374687908,1.4059295967327554,-4.605015378852696,1.4226457064791855,0.19504997267104185,0.06025756340437541,0.8248331604873801,0.3200960035815146,2.4852618866698544,1.0950019022049666,-5.570751658484635,2.454463127395346,0.28633727728717634,0.1261596876302558,1.3784230556410466,,4910.16754178,1994.9082794200003,4.302983824673773,0.837555119332029,1.1016281080642134,,
150919.29+395619.4,1.8870351182809106,,,,0.1687785754763591,,0.883766786603755,,,,,,,,,,2181.724459310004,,1.8870351182809106,,1.1310949211224008,,
124851.99+565236.1,2.364753719546427,,,,0.11983163223404455,,0.6582514921018042,,,,,,,,,,4725.059009680001,,2.364753719546427,,1.0183372738714254,,
162320.81+485604.9,4.4457332471713,1.3438337478142444,-4.952286350537387,1.4969520564299288,0.0793831143972179,0.02399552609267692,0.2328887005173124,0.07126330340437644,3.954405956403972,1.2187849871707432,-5.675640556451971,1.7492856269798729,0.0996917357889679,0.030725927551221287,0.29659509928766986,0.09255376854340142,731.1071617249982,2547.528241150001,4.757016527641158,0.7328110112234526,0.26474189990249114,0.05840517631959031,0.05840517631959031
124809.04+583745.6,3.7134797166831435,,,,0.23236176238166492,,1.1824559361348237,,,,,,,,,,1653.2057857400068,,3.7134797166831435,,0.7395255177112467,,
165316.05+370946.7,1.9237457889808594,,,,0.1632125975972833,,0.8928405338959363,,,,,,,,,,4381.20188891,,1.9237457889808594,,0.5947178165918031,,
155655.08+425558.8,1.8585109910635844,,,,0.16501114800046562,,0.9757389293974287,,,,,,,,,,3653.9013260799984,,1.8585109910635844,,0.6361670143425493,,
155101.61+421827.4,9.196264060728074,,,,0.15438787472749776,,0.41269929876232003,,3.901541609978386,,,,0.37397200870228264,,1.7512318638000177,,2356.836153700002,5274.827605669998,6.54890283535323,,1.0819655812811688,,
153149.91+113425.0,20.21227451504774,1.3995675979275228,-20.64208500526849,1.4293291586521442,0.4922653273493437,0.034086149049104154,0.7451084295379832,0.055021316724591915,9.569371424573093,1.1479276899228388,-16.976526885423706,2.036479140150711,0.34273208113253834,0.04111363523278368,0.7749245803611344,0.10167203698293799,2919.8838948099947,4177.26690812,16.850064457578256,0.7692023699303076,0.7600165049495589,0.05780257000853804,0.05780257000853804
022152.21-033315.2,5.394234026109393,,,,0.1709998917455232,,0.8291177849911794,,2.578902743852283,,,,0.23813483364882343,,1.29100358686348,,2744.548677459992,3841.2334088200078,3.986568384980838,,1.0600606859273296,,
155715.87+404149.9,2.9653297092840716,,,,0.19471156401610876,,1.0715500133737754,,3.1443634866631474,,,,0.17995644320287266,,0.9446522937366648,,3651.220699330006,3270.367950439999,3.0548465979736097,,1.00810115355522,,
160609.99+415412.9,2.805869417942658,1.2444164850399433,-3.788353380355964,1.680152813785755,0.09528155936078497,0.042257826551248254,0.42464842759095417,0.19994364901964526,2.877718227597661,,,,0.23623796439073214,,1.1268191983036937,,162.10118086000148,4729.860952949995,3.157313675298761,,0.7757338129473239,,
155801.96+441719.2,2.8757822192072924,,,,0.23716661549305698,,1.3857143279092254,,,,,,,,,,5193.958236814993,,2.8757822192072924,,1.2562667631064595,,
132814.07+323812.0,2.6037478203920053,,,,0.17511271643061407,,0.986593212739203,,,,,,,,,,2013.3728109399963,,2.6037478203920053,,1.0567062055214484,,
224218.19+284150.2,3.5159179785067023,1.3794791234967236,-3.7000180371977005,1.4517112373148673,0.22899352946065443,0.08984617822085025,0.4531516719329239,0.17862713491959084,1.8420880620397218,1.0110200741888302,-12.373994710052063,6.791400100555705,0.33794838114074893,0.18548114197894816,0.842858979315644,0.46610913944019267,1095.371061714999,569.3150952099968,5.358004696949047,1.788080414245791,0.6480053256242839,0.24958234272442967,0.24958234272442967
154634.36+344844.7,6.850065752584391,,,,1.9122144474014924,,10.838199256724176,,,,,,,,,,4750.177332359999,,6.850065752584391,,5.8405291180199095,,
132118.38+571422.8,3.501842500788078,1.265447802761182,-4.51575126008317,1.631840240845289,0.16241091181452344,0.058689827270608716,0.5248503564155232,0.20039487750622917,1.4372919699170366,,,,0.17343788126737752,,0.7308843884301796,,1667.949897349994,3635.155601419996,3.151628576929428,,0.6278673724228514,,
223902.19-001843.6,8.687069843234603,1.4626253914584804,-8.138781774750317,1.3703111744358805,0.2175056394496523,0.03662100993607533,0.22850236890710302,0.039819930383861765,7.766026403279991,1.559190826563617,-6.491835529307912,1.3033705886683074,0.20876701551694243,0.041914307083169636,0.29824036524929615,0.06221085561493104,2353.8465853499947,2353.8465853499947,7.770928387643206,0.7135683514724002,0.2633713670781996,0.036931752639555955,0.036931752639555955
151652.68+064407.3,3.6157002394335747,,,,0.15444805923568888,,0.6306706658846755,,1.4981105786876923,,,,0.15994633970978112,,0.7373589752282499,,3083.9560502400054,3998.9350518999927,2.5569054090606333,,0.6840148205564627,,
222615.38+242251.5,2.09212961613442,,,,0.14677634363962686,,0.7421238364560081,,,,,,,,,,3449.083557109996,,2.09212961613442,,0.739741405842129,,
121139.13+353929.9,9.214694624037676,1.3135196095857604,-10.81961979815553,1.5422955782024956,0.22103804676045946,0.0315081313847358,0.26784743632407665,0.03892529417637404,5.203101442607515,1.1815526185565801,-8.267575857236627,1.877452517692527,0.20967703625116285,0.047614764764145785,0.21560332764534454,0.05023151736673275,2903.803647340006,2922.626862869998,8.376247930509336,0.7510369482387841,0.2417253819847106,0.03177413989269274,0.03177413989269274
144730.08+405940.0,1.9264664638488045,,,,0.2153580569456912,,1.2206233123539842,,,,,,,,,,4379.725059590004,,1.9264664638488045,,0.7181133199996644,,
162547.73+331249.6,3.6069342084596436,,,,0.12826625223922064,,0.5664126942758627,,2.5407033361661564,,,,0.1681535550902175,,0.8314015005374815,,1462.2298816200055,4001.7541086700003,3.0738187723129,,0.6989070974066721,,
155835.39+273102.2,9.181396471210979,1.3443420482432769,-10.218878221965145,1.4962503495781738,0.33042865255924414,0.048381434455272085,0.37471230738623024,0.057901577559051134,2.827463490824312,1.2321144250931186,-3.9281468331188774,1.7117555691439184,0.25905660891856486,0.11288824269529835,0.38913424170946653,0.17196627409102203,2752.5311548050013,162.61190784000064,6.5389712542798275,0.7286217183965175,0.38192327454784836,0.09072622568554162,0.09072622568554162
153028.38+005539.0,10.215694480869596,1.4182994223671965,-10.157088290543712,1.4101628119740413,0.25512896060875134,0.03542091613430215,0.42206560010342686,0.06265550873887017,9.062323475029517,1.7944688621452547,-6.082070955021256,1.2043365011430633,0.26962945727187126,0.053390465119092595,0.43638724655421396,0.08898891658766044,2385.552634380001,3632.432091609997,8.87929430036602,0.7361503460976934,0.42922642332882044,0.054416771428421364,0.054416771428421364
163407.64+351705.6,4.430631468314519,,,,0.21086196001725185,,1.5038984214496867,,,,,,,,,,4463.085195730004,,4.430631468314519,,0.9701428340019503,,
160043.60+313931.1,3.616358298573067,,,,0.2158993456212609,,0.9738037050150071,,2.5198943334210835,,,,0.29055817715823395,,1.706622948147585,,2543.2188048099997,2743.7472910699944,3.068126315997075,,1.340213326581296,,
142825.57-012550.4,5.479230773581606,,,,0.3669262681263402,,1.5848906720392681,,3.05456011562065,,,,0.2987242366895985,,1.2161160871870667,,4933.658816970004,4912.487459460004,4.266895444601128,,1.4005033796131674,,
125711.06+271457.7,2.368539558076435,1.1177292639629357,-4.74354701151081,2.23851076992587,0.26810508987825377,0.12652054036948734,1.1233761157741884,0.6373778724636804,1.7504531503746776,,,,0.1468392268149599,,0.6236585127926141,,359.05325694000203,3110.942997170001,2.9541799066539745,,0.8735173142834012,,
131053.25+170330.8,7.093328483460701,,,,0.18375075276889674,,0.7359517451088343,,1.5501429801194395,1.1868259368346579,-2.4251916566856475,1.8567837914717815,0.13272556271999597,0.10161781354190255,0.49188009117286297,0.394805872651185,4570.270015465008,1817.0595227349986,3.6895543734219296,,0.6139159181408487,,
140217.98+041111.1,4.104950025696806,1.1508066087318574,-7.207705048493837,2.0206517866654607,0.1735693757430305,0.048659492424548145,0.5052351259269641,0.1496537683393631,2.8445233827042333,1.6045762143204376,-2.2668116951671045,1.278692996698323,0.17796339596830768,0.10038793631534988,0.6534844571637666,0.3913723581156182,554.7094234599936,728.2701782000004,4.105997538015496,0.7752866446121509,0.5793597915453653,0.20950451849253243,0.20950451849253243
150509.83+400734.0,4.6282450113354,,,,0.1999506027317222,,1.1208379795449337,,1.9213579936452012,,,,0.32385755550767203,,1.6190446186408114,,3814.2562479250046,4365.964434770001,3.2748015024903006,,1.3699412990928725,,
125924.16+321439.2,2.9780003081204964,,,,0.14710312565145156,,0.6377379923543228,,1.9186925405806183,,,,0.27417042847073325,,1.3468690503417335,,5097.195543370006,2191.106464589997,2.4483464243505573,,0.9923035213480282,,
145813.52+354139.4,2.5860478649553444,,,,0.14452415076612457,,0.69656351673827,,2.738188464494987,,,,0.1587091040351315,,0.8323512617757384,,4935.812833379998,3083.594405579999,2.6621181647251655,,0.7644573892570041,,
163532.40+305443.9,3.638728601419449,1.153638652089907,-6.325764239421801,2.0055483466830495,0.15984654910060758,0.05067845878192525,0.4206525605301684,0.13838084922066482,1.9537569199006366,1.2592056401284843,-2.5531152741823133,1.6454949540560309,0.10174699660151745,0.065576423905017,0.3923070979067651,0.260428284235612,1095.986701820002,718.461897180001,3.6178412587310502,0.776464696494397,0.40647982921846676,0.1474552056227052,0.1474552056227052
172541.38+322937.8,13.536439010830845,1.3312384089952822,-15.404256479185328,1.5149285473600542,0.25460877474705995,0.02503944944008656,1.015532450061817,0.14321802978309559,4.959245603401046,2.2372222662318872,-2.4780239177082897,1.1178898421869174,0.1619686064158611,0.07306751907096665,0.6741173208337258,0.35532798637532625,2555.481504825002,2183.7915290599994,9.094491252781378,0.8031985033671303,0.8448248854477713,0.19155246145409857,0.19155246145409857
161302.31+313249.0,3.080306393061067,,,,0.1878978098115133,,0.9110497924025405,,,,,,,,,,2902.8125788700054,,3.080306393061067,,0.7925835566181332,,
164456.20+194329.0,5.236226745331152,1.2667006744324554,-6.734561150901275,1.629164199098058,0.143205449488349,0.034642968739090105,0.25025341908793114,0.06159829571697814,5.172171506624609,1.3637566416078517,-5.577840233570869,1.4707201133250936,0.14392378880063467,0.03794866868023154,0.44733951130783206,0.12398545607588214,1805.594157710002,2746.092251369999,5.680199909106976,0.7194423367919661,0.3487964651978816,0.06922200400447243,0.06922200400447243
